Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABAT,American Battery Technology Company Common Stock,$4.15,-0.24,-5.467%,191955569.00,United States,,271739,Basic Materials,Metal Mining
AEM,Agnico Eagle Mines Limited Common Stock,$47.06,-0.25,-0.528%,23344749439.00,Canada,,1869356,Basic Materials,Precious Metals
AERT,Aeries Technology Inc. Class A Ordinary Share,$1.67,-0.47,-21.963%,149684041.00,United States,2021,901360,Basic Materials,Forest Products
AG,First Majestic Silver Corp. Ordinary Shares (Canada),$4.58,-0.07,-1.505%,1314153648.00,Canada,,5090921,Basic Materials,Precious Metals
AMLI,American Lithium Corp. Common Stock,$1.06,-0.02,-1.852%,227535163.00,Canada,,215585,Basic Materials,Metal Mining
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.4219,-0.0257,-5.742%,51532156.00,Canada,,618929,Basic Materials,Metal Mining
ATCOL,Atlas Corp. 7.125% Notes due 2027,$23.53,-0.1316,-0.556%,4807844358.00,United Kingdom,,1453,Basic Materials,Precious Metals
AU,AngloGold Ashanti PLC Ordinary Shares,$15.90,-0.74,-4.447%,6655747521.00,South Africa,,4470791,Basic Materials,Precious Metals
AUMN,Golden Minerals Company Common Stock,$0.491,0.031,6.739%,4209467.00,United States,,515033,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.64,-0.02,-3.03%,8492800.00,,2022,13237,Basic Materials,Precious Metals
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$58.07,0.77,1.344%,294090217971.00,Australia,,1694062,Basic Materials,Metal Mining
BTG,B2Gold Corp Common shares (Canada),$3.01,-0.03,-0.987%,3899232260.00,Canada,,6296601,Basic Materials,Precious Metals
BVN,Buenaventura Mining Company Inc.,$8.92,0.29,3.36%,2263139495.00,Peru,1996,1432474,Basic Materials,Metal Mining
CDE,Coeur Mining Inc. Common Stock,$2.11,-0.08,-3.653%,807306418.00,United States,,7364407,Basic Materials,Precious Metals
CGAU,Centerra Gold Inc. Common Shares,$5.54,-0.14,-2.465%,1195249454.00,Canada,2021,171372,Basic Materials,Precious Metals
CHNR,China Natural Resources Inc. Common Stock,$1.70,0.00,0.00%,13923000.00,Hong Kong,,1902,Basic Materials,Metal Mining
CLF,Cleveland-Cliffs Inc. Common Stock,$16.55,0.11,0.669%,8355454118.00,United States,,6097405,Basic Materials,Metal Mining
CLW,Clearwater Paper Corporation Common Stock,$35.23,-0.69,-1.921%,583526574.00,United States,,88924,Basic Materials,Paper
CMCL,Caledonia Mining Corporation Plc Common Shares,$10.72,0.03,0.281%,205716800.00,Canada,,39994,Basic Materials,Precious Metals
CMP,Compass Minerals Intl Inc Common Stock,$23.94,0.07,0.293%,985145579.00,United States,2003,383926,Basic Materials,Other Metals and Minerals
