Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AACG,ATA Creativity Global American Depositary Shares,$0.8549,0.0049,0.576%,27033793.00,China,2008,5374,Real Estate,Other Consumer Services
AAIC,Arlington Asset Investment Corp Class A (new),$4.53,0.13,2.955%,132636429.00,United States,,76297,Real Estate,Real Estate Investment Trusts
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,$23.45,-0.04,-0.17%,686605799.00,United States,,1565,Real Estate,Real Estate Investment Trusts
AAT,American Assets Trust Inc. Common Stock,$18.40,-0.02,-0.109%,1117333192.00,United States,2011,301832,Real Estate,Real Estate Investment Trusts
ABR,Arbor Realty Trust Common Stock,$13.06,0.20,1.555%,2461831445.00,United States,2004,2891796,Real Estate,Real Estate Investment Trusts
ACR,ACRES Commercial Realty Corp. Common Stock,$7.60,0.05,0.662%,64258996.00,United States,,9419,Real Estate,Real Estate Investment Trusts
ACRE,Ares Commercial Real Estate Corporation Common Stock,$9.57,-0.01,-0.104%,518125140.00,United States,2012,412793,Real Estate,Real Estate Investment Trusts
ADC,Agree Realty Corporation Common Stock,$56.65,-0.23,-0.404%,5694441968.00,United States,,714030,Real Estate,Real Estate Investment Trusts
AEI,Alset Inc. Common Stock (TX),$1.1995,-0.0607,-4.817%,11077525.00,United States,2020,31276,Real Estate,Building operators
AFCG,AFC Gamma Inc. Common Stock,$10.88,-0.08,-0.73%,222579743.00,United States,2021,161977,Real Estate,Real Estate Investment Trusts
AFYA,Afya Limited Class A Common Shares,$17.44,0.35,2.048%,1634526155.00,Brazil,2019,104123,Real Estate,Other Consumer Services
AGNC,AGNC Investment Corp. Common Stock,$8.40,0.13,1.572%,5637289216.00,United States,2008,12489946,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,$20.59,-0.33,-1.577%,13818069637.00,United States,,16753,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,$22.74,-0.01,-0.044%,15260947234.00,United States,,4849,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,$25.03,0.28,1.131%,16797779651.00,United States,,13819,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,$22.42,0.07,0.313%,15046193359.00,United States,,7469,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,$20.74,0.21,1.023%,13918735516.00,United States,,22573,Real Estate,Real Estate Investment Trusts
AHT,Ashford Hospitality Trust Inc Common Stock,$2.06,0.07,3.518%,71097575.00,United States,2003,253004,Real Estate,Real Estate Investment Trusts
AIC,Arlington Asset Investment Corp 6.750% Notes due 2025,$24.17,-0.0601,-0.248%,707687086.00,United States,2015,367,Real Estate,Real Estate Investment Trusts
AIRC,Apartment Income REIT Corp. Common Stock,$29.53,0.35,1.199%,4340694756.00,United States,2020,733067,Real Estate,Real Estate Investment Trusts
AIU,Meta Data Limited ADS,$1.0601,0.0001,0.009%,7744910151.00,,2018,1912,Real Estate,Other Consumer Services
AIV,Apartment Investment and Management Company Common Stock,$6.32,0.07,1.12%,921201127.00,United States,1994,711978,Real Estate,Real Estate Investment Trusts
AJX,Great Ajax Corp. Common Stock,$4.44,0.10,2.304%,121964194.00,United States,2015,169796,Real Estate,Real Estate Investment Trusts
