Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ADTN,ADTRAN Holdings Inc. Common Stock,$5.43,0.42,8.383%,427242331.00,United States,1994,1282915,Utilities,Telecommunications Equipment
AEE,Ameren Corporation Common Stock,$76.27,0.17,0.223%,20039907034.00,United States,,1360775,Utilities,Power Generation
AEP,American Electric Power Company Inc. Common Stock,$77.70,0.44,0.57%,40860536684.00,United States,,3460316,Utilities,Electric Utilities: Central
AES,The AES Corporation Common Stock,$15.70,0.07,0.448%,10513175850.00,United States,,4739880,Utilities,Electric Utilities: Central
AESC,The AES Corporation Corporate Units,$63.95,0.3528,0.555%,42822776788.00,United States,,10527,Utilities,Electric Utilities: Central
AGR,Avangrid Inc. Common Stock,$30.38,0.17,0.563%,11750100398.00,United States,2015,836532,Utilities,Electric Utilities: Central
AKTS,Akoustis Technologies Inc. Common Stock,$0.5601,0.0749,15.437%,40524258.00,United States,,563550,Utilities,Telecommunications Equipment
ALE,Allete Inc.,$53.88,-0.13,-0.241%,3096882581.00,United States,,262044,Utilities,Power Generation
AM,Antero Midstream Corporation Common Stock,$12.50,0.03,0.241%,5996412500.00,United States,2017,1159395,Utilities,Natural Gas Distribution
AMPS,Altus Power Inc. Class A Common Stock,$5.26,-0.23,-4.189%,841580028.00,United States,2021,1379651,Utilities,Electric Utilities: Central
AQN,Algonquin Power & Utilities Corp. Common Shares,$5.61,0.02,0.358%,3863938540.00,United States,2016,8422339,Utilities,Electric Utilities: Central
AQNB,Algonquin Power & Utilities Corp. 6.20% Fixed-to-Floating Subordinated Notes Series 2019-A due July 1 2079,$24.32,-0.12,-0.491%,16750621263.00,United States,2019,34838,Utilities,Electric Utilities: Central
AQNU,Algonquin Power & Utilities Corp. Corporate Units,$20.47,0.22,1.086%,14098898736.00,United States,2021,344528,Utilities,Electric Utilities: Central
ARIS,Aris Water Solutions Inc. Class A Common Stock,$8.87,0.45,5.344%,511732422.00,United States,2021,335209,Utilities,Water Supply
ARTNA,Artesian Resources Corporation Class A Common Stock,$40.69,-0.20,-0.489%,418171008.00,United States,,23433,Utilities,Water Supply
ATO,Atmos Energy Corporation Common Stock,$111.41,0.12,0.108%,16540205008.00,United States,,910141,Utilities,Oil/Gas Transmission
AUDC,AudioCodes Ltd. Common Stock,$9.83,0.10,1.028%,311512700.00,Israel,1999,82454,Utilities,Telecommunications Equipment
AVA,Avista Corporation Common Stock,$33.46,-0.14,-0.417%,2588720298.00,United States,,444679,Utilities,Power Generation
AWK,American Water Works Company Inc. Common Stock,$123.50,-0.77,-0.62%,24046067130.00,United States,2008,981019,Utilities,Water Supply
AWR,American States Water Company Common Stock,$77.50,-0.55,-0.705%,2865995880.00,United States,,176770,Utilities,Water Supply
AWX,Avalon Holdings Corporation Common Stock,$2.0708,0.0708,3.54%,6808059.00,United States,1998,1355,Utilities,Environmental Services
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$17.76,-0.23,-1.278%,2061225600.00,United Kingdom,2014,824587,Utilities,Electric Utilities: Central
BEP,Brookfield Renewable Partners L.P. ,$21.91,-0.15,-0.68%,10256700211.00,Canada,,242206,Utilities,Electric Utilities: Central
BEPC,Brookfield Renewable Corporation Class A Subordinate Voting Shares ,$23.50,-0.18,-0.76%,4047125303.00,United States,2020,810976,Utilities,Electric Utilities: Central
BIPC,Brookfield Infrastructure Corporation ,$29.62,-0.07,-0.236%,3340765957.00,Canada,2020,773771,Utilities,Power Generation
BIPH,Brookfield Infrastructure Corporation 5.000% Subordinated Notes due 2081,$15.18,-0.53,-3.374%,1712114356.00,Canada,2021,12254,Utilities,Oil & Gas Production
BKH,Black Hills Corporation Common Stock,$49.14,0.70,1.445%,3341109337.00,United States,,574436,Utilities,Electric Utilities: Central
CDZI,CADIZ Inc. Common Stock,$3.06,-0.04,-1.29%,203782554.00,United States,,129038,Utilities,Water Supply
CDZIP,Cadiz Inc. Depositary Shares,$15.47,0.01,0.065%,1030234025.00,United States,,1248,Utilities,Water Supply
CEG,Constellation Energy Corporation Common Stock ,$121.77,1.14,0.945%,38891107661.00,United States,,1219660,Utilities,Electric Utilities: Central
CEPU,Central Puerto S.A. American Depositary Shares (each represents ten Common Shares),$5.95,0.09,1.536%,900843245.00,,2018,104446,Utilities,Electric Utilities: Central
CIEN,Ciena Corporation Common Stock,$44.13,0.87,2.011%,6524283126.00,United States,1997,932481,Utilities,Telecommunications Equipment
CIG,Comp En De Mn Cemig ADS American Depositary Shares,$2.58,0.05,1.976%,5679536375.00,Brazil,,2678954,Utilities,Electric Utilities: Central
CLFD,Clearfield Inc. Common Stock,$24.50,0.40,1.66%,373914321.00,United States,,556269,Utilities,Telecommunications Equipment
CLIN,Clean Earth Acquisitions Corp. Class A Common Stock,$10.63,0.00,0.00%,0.00,United States,2022,200009,Utilities,Power Generation
CLINR,Clean Earth Acquisitions Corp. Right,$0.09,0.01,12.50%,0.00,United States,2022,14037,Utilities,Power Generation
CLINU,Clean Earth Acquisitions Corp. Unit,$10.72,-0.18,-1.651%,0.00,United States,2022,101,Utilities,Power Generation
CLINW,Clean Earth Acquisitions Corp. Warrant,$0.0368,0.0001,0.272%,0.00,United States,2022,836,Utilities,Power Generation
CLNE,Clean Energy Fuels Corp. Common Stock,$3.37,-0.16,-4.533%,751398180.00,United States,2007,4503343,Utilities,Natural Gas Distribution
CMS,CMS Energy Corporation Common Stock,$55.60,0.86,1.571%,16222054325.00,United States,,2755621,Utilities,Power Generation
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,$22.7592,-0.0008,-0.004%,6640305374.00,United States,2018,5281,Utilities,Power Generation
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,$23.17,0.21,0.915%,6760161847.00,United States,2018,3952,Utilities,Power Generation
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,$23.33,0.06,0.258%,6806844018.00,United States,2019,46622,Utilities,Power Generation
CNP,CenterPoint Energy Inc (Holding Co) Common Stock,$27.12,0.36,1.345%,17118782947.00,United States,,5209204,Utilities,Electric Utilities: Central
CPK,Chesapeake Utilities Corporation Common Stock,$86.71,-0.31,-0.356%,1543155412.00,United States,,1864600,Utilities,Oil & Gas Production
CQP,Cheniere Energy Partners LP Common Units,$56.33,-1.01,-1.761%,27265923799.00,United States,2007,217591,Utilities,Oil/Gas Transmission
CWCO,Consolidated Water Co. Ltd. Ordinary Shares,$33.80,3.28,10.747%,532107316.00,Cayman Islands,,680276,Utilities,Water Supply
CWEN,Clearway Energy Inc. Class C Common Stock,$21.47,-0.20,-0.923%,4338653306.00,United States,2015,645468,Utilities,Electric Utilities: Central
